,name,price_score,proximity_to_park_score,criminality_score,desired
118,Private room blocks to DT Ballard,7,5,5,0
119,Heart of Ballard private room,6,8,5,0
120,Private 1BR apartment with kitchen,7,3,5,0
121,Kid friendly townhouse near it all ,5,4,5,0
122,Sunny Ballard Near Everthing,7,3,5,0
123,Odd Lodging in the Heart of Ballard,7,8,5,0
124,Cozy Room in Heart of Ballard,8,6,5,0
125,Sweet North Central Flat,5,4,5,0
126,Ballard Mid-Century Apartment Room,9,4,5,0
127,Fremont View Apartment,5,2,5,0
128, Sunny Ballard Digs,5,1,5,0
129,Walk Ballard! Bright Basement 2Bdrm,7,9,5,0
130,Modern Classic~Convenient~Priv Home,4,0,5,0
131,Modern 3BR Freestanding Townhouse,0,7,5,0
132,Brand-New 3BR/3BA Home w/ Roof-View,0,5,5,0
133,A Friendly Place in Ballard,7,9,5,0
134,Entire Private Floor:Bed&Bath Suite,9,2,5,0
135,Rooftop Olympic View 4m Sunny Loft ,4,1,5,0
136,Ballard Bungalow,1,2,8,0
137,Gorgeous Townhome Private Room,9,6,5,0
138,Home sweet home-away-from home!,9,7,5,0
139,Gorgeous Townhome Main Bdrm+Balcony,9,9,5,0
140,Ballard studio w kitchen & bath,7,3,8,0
141,Comfort in Ballard/Fremont for 8!,3,4,5,0
142,Large room in Ballard neighborhood ,8,6,5,0
143,Artists' Retro Duplex in Ballard,8,0,5,0
144,La Petite Casa Grande in Fremont,1,4,5,0
145,Cozy 1BD in Storybook Ballard Home,7,1,5,0
146,BALLARD ART,9,9,5,0
147,Artist's Retro Duplex,9,1,5,0
148,Gorgeous 4BR 2.5BA Townhome+Balcony,0,9,5,0
149,Ballard 1903 Modern Cottage,2,3,5,0
150,Seattle charmer-new remodel-Ballard,1,4,5,0
151,Seattle- Ballard Guestsuite -  ,6,0,5,0
152,Walkable Seattle 3-bedroom Home ,1,3,5,0
153,Large Ballard/Fremont apartment,4,3,5,0
154,A Garden Guest House,6,0,5,0
155,Townhome Top Floor 2 Bedrms+Balcony,7,7,5,0
156,Private Apt. Fremont/Ballard,6,1,5,0
157,Vintage Ballard Charm,5,3,5,0
158,Beautiful Phinney/Ballard Retreat,1,6,5,0
159,"Ballard One Bedroom, lots of light!",7,3,5,0
160,Private Floor - Modern Ballard Home,7,7,5,0
161,Private garden room in hip Ballard,7,1,5,0
162,Private Floor in Modern Townhouse,7,3,5,0
163,Quiet Backyard Private Apartment,6,4,5,0
164, Private bed/bath in Ballard,7,0,5,0
165,The El Rey in Frelard,7,1,5,0
166,Seattle Escape - Charming 2bdrm,7,1,5,0
167,Priv.RM Olympic View 4m Sunny Loft,7,2,5,0
168,Private Studio - Industrial Ballard,6,5,5,0
169,Spacious Room in Zero-Energy House,6,0,5,0
170,Craftsman Charmer w/ Stunning Views,0,8,3,0
171,3BR Sunny Ballard House,0,1,5,0
172,Ballard Artcove ,8,6,5,0
173,Enjoy Seattle in Your Mini-Home!,6,3,5,0
174,Two Bedroom Suite in Ballard,4,8,5,0
175,Cozy Ballard Craftsman /upper floor,9,1,5,0
176,Suite on the Ridge,6,4,3,0
177,Modern Ballard/Fremont Cottage,5,3,5,0
178,Ballard Basement,6,5,5,0
179,Cozy Ballard Cottage - Sleeps 5,4,3,5,0
180,Crow's Nest Cottage,2,4,5,0
181,"Clean, Spacious, Seattle 3-bedroom!",0,7,5,0
182,New Zero-Energy Home in Ballard,1,1,5,0
183,Ballard Craftsman Charmer,5,0,5,0
184,Ballard home with private rooftop,1,5,5,0
185,One private bedroom in a large Apt,4,9,4,0
186,Master Suite - Private Entrance,4,5,4,0
187,"Modern, Intimate & Iconic City View",1,7,4,0
188,Relaxing room available,2,7,4,0
189,Hilltop House - 3 Bd Great Location,0,8,4,0
190,Centrally located place - Queen Ann,9,8,4,0
191,"Beautiful & Modern, Great Location",8,3,4,0
192,Between Fremont & Downtown! Retro,2,7,4,0
193,Seattle + free parking + quiet,5,5,4,0
194,Studio at Mibbett Hollow -Private,6,6,4,0
195,World Travelers Welcome to Seattle!,7,7,4,0
196,Quiet apartment Queen Anne,2,5,4,0
197,Downtown Seattle Apt 93 walk score!,6,8,4,0
198,Top of Queen Anne 3 Bed / 2 Bath,1,2,4,0
199,"View, Location and Plenty of Space",2,4,4,0
200,Downtown Home Sleeps 8,0,8,4,0
201,Top Floor Condo w/ View -Queen Anne,4,6,4,0
202,Queen Anne Garden Getaway,2,5,4,0
203,City view in large urban condo,2,5,4,0
204,Spectacular Queen Anne View Condo,0,6,4,0
205,"Top of QA Hill, SUPER CHARMING apt",2,8,4,0
206,Remodeled Historic House in WestLk,1,5,4,0
207,Queen Anne Condo ,1,2,4,0
208,SPECTACULAR SPACE IN QUIET PLACE,1,8,4,0
209,The Gallery - Lake Union View Room,6,9,4,0
210,Modern apartment with AMAZING view!,3,5,4,0
211,Queen Anne Classic Victorian 3 Bdrm,0,6,4,0
212,Private Room and Patio with View,3,5,1,0
213,Top of Queen Anne on Highland Drive,1,6,4,0
214,Queen Anne Mother-In-Law 1br/1bath,4,8,4,0
215,Modern Seattle Apartment with gym!,6,8,4,0
216,Cozy Queen Anne Cottage,6,1,4,0
217,Queen Anne Living,3,4,4,0
218,Breathtaking Views Near City,1,8,4,0
219,"Luxurious, Modern, Panoramic Views",0,4,4,0
220,"Queen Anne 2-Bedroom, 2-Bath Condo",4,6,4,0
221,Le Penthouse,2,8,4,0
222,Queen Anne Comfort,4,5,4,0
223,Modern Open Studio,7,3,4,0
224,Queen Anne - Cozy 3 BD View/Parking,0,8,4,0
225,Meditteranean Style Queen Anne Home,7,7,4,0
226,Furnished private room/new building,7,4,4,0
227,Luminous and Comfortable,6,6,4,0
228,"Heart of Seattle, minutes to it all",3,5,4,0
229,Apt on Lake Union & inHeart of City,4,6,4,0
230,Luxury in Queen Anne very walkable!,0,7,4,0
231,"2 bedroom & 2 bath, large deck VIEW",0,7,4,0
232,"Queen Ann, central neighborhood",7,9,4,0
233,Location and View in Queen Anne,6,4,4,0
234,Classy Seattle Apartment and gym,4,9,4,0
235,Cute & Tidy by Seattle Center!,4,2,4,0
236,Spacious Apt in Queen Anne,6,3,4,0
237,"Lake Union view, 5 min to downtown!",3,9,4,0
238,View of Lake Union,5,8,4,0
239,"Private ""in house"" guest suite ",3,6,4,0
240,Steps away from Lake Union,2,3,4,0
241,Spacious Queen Anne Craftsman,0,1,4,0
242,Queen Anne Jewel,0,3,4,0
243,Charming Queen Anne Hill Craftsman,0,1,4,0
244,1905 Craftsman in Ideal Location!,0,5,4,0
245,Secret Garden Bungalow,2,1,4,0
246,2BR Apt in Lovely Queen Anne Home,1,1,4,0
247,Central 1-BR with Lake Union View,4,4,4,0
248,Everything you need in Lower Q. A.!,5,5,4,0
249,lakeview in QueenAnne near Fremont,6,9,4,0
250,Cozy 1BR/1BA Apartment,2,1,4,0
251,"Heart of Seattle, Water & city view",3,9,4,0
252,Westlake luxury loft with lake view,1,3,4,0
253,Spacious & Clean 1 bedroom Apt.,6,7,4,0
254,Cute vintage flat 10 min to it all!,7,8,4,0
255,Highland Hideaway SpaceNeedle View,5,8,4,0
256,Sunny Home w/ Views in Wallingford,0,0,5,0
257,"Furnished, great spot, near UW",2,2,5,0
258,Designer 2 Bdrm Fremont/Wallingford,2,4,3,0
259,Beautiful Loft Apartment UW ,7,7,5,0
260,Wallingford Private 1BD Apartment,6,0,5,0
261,Modern Green Lake Apartment,5,9,5,0
262,"Charm, convenience in Wallingford",0,6,5,0
263,Sunny Bedroom w/View: Wallingford,4,0,5,0
264,GreenLake - Modern and Convenient,3,2,5,0
265,Chic In City  Basement Apartment,4,1,5,0
266,A+ Home for 2-8 near Green Lake-UW,1,6,5,0
267,Private Greenlake Studio Apartment ,5,3,5,0
268,Charming Wallingford Apartment,4,3,5,0
269,Cozy 1BD Apartment in Wallingford.,4,0,5,0
270,Classic Seattle/Wallingford Home,1,3,5,0
271,Contemporary 2 Bedroom Apartment,3,0,5,0
272,Cozy 1920s Wallingford Home,3,4,5,0
273,Charming Artistic Studio Apartment,7,3,5,0
274,Upper House near UW and Greenlake,2,5,5,0
275,Nice One bedroom in Fremont!,6,0,5,0
276,Full Apt w/ Garden- cozy and light,5,4,5,0
277,Cozy basement in Wallingford home,3,9,5,0
278,Craftsman with Private Bath & A/C,8,5,5,0
279,Urban oasis in Wallingford home,5,3,5,0
280,Cozy Room & Sleeping Nook,9,1,5,0
281,Classic Craftsman with Modern Touch,1,6,5,0
282,Great 1 Bedroom in Greenlake,9,3,5,0
283,Private room w Q-size bed a view,7,4,5,0
284,Lake Union Hacker House - 2FL 4p 2L,9,4,5,0
285,Mother-in-Law Apartment in Seattle,4,1,5,0
286,Wallingford Burke Retreat,5,8,5,0
287,Warm family home w/ hot tub + honey,1,4,5,0
288,YELLOW SUITE - super clean-new bed,9,7,5,0
289,Eclectic 1bd apt in Wallingford,6,3,5,0
290,Craftsman w/ Hot Tub *Jan/Feb deal*,4,2,5,0
291,Spacious 3bd/2ba Green Lake Home,1,7,9,0
292,"Bright, Central, and Cozy Bedroom",8,0,5,0
293,Cute comfy room in central location,7,4,5,0
294,2 - bedroom near UW and Greenlake,3,5,5,0
295,Quiet Room Near UW & Green Lake,7,6,5,0
296,Cozy Private Greenlake Apartment,6,1,5,0
297,"Wallingford, Private 1Bd Apartment!",3,7,5,0
298,Wallingford  5 bed 2 bath near UW,1,2,5,0
299,Lake Union Hacker House - 1FL 4p 2L,9,3,5,0
300,Lake Union Hacker House - 3FL 2p L,9,5,5,0
301,Lake Union Hacker House - 3FL 4p 2U,9,5,5,0
302,Lake Union Hacker House - 2FL 4p 2U,9,3,5,0
303,"Seattle Sunyside Suite, private 2BR",6,2,5,0
304,Wallingford Apt. with Sleeping Loft,1,3,5,0
305,Bright 2 BR suite in Wallingford,2,2,5,0
306,South Wallingford Casita,4,3,5,0
307,"Wallingford haven, private full apt",8,3,5,0
308, Walking distance to Greenlake.,9,1,5,0
309,The Wallingford Bungalow,0,6,5,0
310,Great Greenlake studio apartment ,6,1,5,0
311,GREENLAKE HOME - Great location!,1,3,5,0
312,Convenient Apt Central Wallingford,4,9,5,0
313,1911 House in Wallingford/Fremont,9,1,5,0
314,Wallingford 2 Bedroom Cozy Craftman,2,2,5,0
315,Lake Union Hacker House - 2FL 4p 1U,9,3,5,0
316,Big sunny central house with view!,8,4,5,0
317,Modern and Cozy Bedroom,7,1,5,0
318,Cute Green Lake Cabin,1,3,5,0
319,Cozy Greenlake basement studio,8,8,5,0
320,"Cozy charming 1905 cottage, S room",8,8,5,0
321,Family-Ready Craftsman Home,0,1,5,0
322,Lake Union Hacker House - 3FL 4p 1U,9,3,5,0
323,Wallingford Terrace Sky,7,0,5,0
324,Wallingford Craftsman 1 BR apt,6,2,5,0
325,2BR/1BA Open-Concept Condo,0,2,3,0
326,Private Room in Wallingford Apt.,9,1,5,0
327,Private Bedroom & Bath; Modern Home,7,6,5,0
328,Greenlake Classic 2 Bdrm Craftsman ,2,5,5,0
329,"Modern, private 1BR basement apt",5,5,5,0
330,Sunny Corner Apartment Wallingford,4,8,5,0
331,Modern Wallingford 1 Bedroom,5,4,5,0
332,Charming 3BR home in Wallingford,0,2,5,0
333,Floating Home~Huge Deck~Kayaks~Bike,2,9,5,0
334,Craftsman Home in Wallingford!,1,1,5,0
335,Lake Union Hacker House - 1FL 4p 2U,9,3,5,0
336,Walkable bungalow with private yard,1,9,5,0
337,Charming Seattle basement apartment,4,9,5,0
338,Greenlake bungalow,0,1,5,0
339,Lovely 3 bedroom craftsman home!,0,6,5,0
340,"Fab, private seattle urban cottage!",6,1,5,0
341,Quaint Wallingford Studio,6,8,5,0
342,Spacious Basement Green Lake Room,9,2,9,0
343,"Green Lake- funky, fresh, foosball!",0,2,5,0
344,"Bright, Modern, Seattle Classic.",3,7,5,0
345,Modern home in popular neighborhood,1,2,5,0
346,"Spacious 2Br home sleeps 6, HotTub!",0,2,5,0
347,"Light, Airy Room in Spacious Home",6,1,5,0
348,Colorful & Retro 1BR Greenlake Apt,6,6,5,0
349,"Modern 2 bd apt, great neighborhood",4,2,5,0
350,Lake Union Hacker House - 3FL 4p 1L,9,3,5,0
351,Charming Wallingford home w/ Views!,1,3,5,0
352,Modern Apartment near 45th St & UW,7,2,5,0
353,Sunlit 1-Bedroom apartment,4,2,5,0
354,Spacious Home in Green Lake!,0,3,5,0
355,Private duplex unit in Wallingford,5,0,5,0
356,Lake Union Hacker House - 1FL 4p 1L,9,3,5,0
357,Mid-century Duplex in Wallingford,2,2,5,0
358,Charming stay near Greenlake.,9,3,5,0
359,"Quiet Greenlake house, large room",9,4,5,0
360,Sunny Bedroom #2 w/View: Wallingfrd,2,0,5,0
361,Attic suite with private bathroom,9,0,5,0
362,"S.Wallingford, walk to UW, parking",6,2,5,0
363,Charming & Cozy Greenlake Bungalow,2,1,5,0
364,Sunny Room in the ♥ of Wallingford,9,1,5,0
365,Lake Union Hacker House - 2FL 4p 1L,9,4,5,0
366,Wallingford 3 Bedroom Craftsman,0,3,5,0
367,Clean and Simple Green Lake Studio,2,4,5,0
368,"Cozy charming 1905 cottage, W room",9,9,5,0
369,Stylish Wallingford 1-BD Apartment,5,9,5,0
370,"3br/3ba.  modern, roof deck, garage",0,1,5,0
371,Green Lake Carriage House,5,7,5,0
372, Cozy City Bedroom and Den,8,3,5,0
373,True Wallingford Craftsman,2,0,5,0
374,Perfect Location 1BR in Wallingford,3,4,5,0
375,Quiet Greenlake house w/ balcony,9,3,5,0
376,Sweet+Cozy+Safe Studio in Seattle,8,1,5,0
377,Wallingford Townhouse,0,1,5,0
378,"Green Lake Oasis, Perfect Location",3,5,5,0
379,Cozy 1BD in Fremont/Wallingford!,6,3,3,0
380,"the orange house, quiet 'n central ",0,1,5,0
381,Lake Union Hacker House - 1FL 2p U,9,4,5,0
382,Wallingford Tudor Home,1,3,5,0
383,"99walkscore, 3br, deck, zoo,central",0,5,5,0
384,An  Old Charm in Central Seattle,8,7,5,0
385,Brand New Modern 1Br inWallingford,6,5,5,0
386,Craftsman Bungalow Room,6,3,5,0
387,Great Room Near UW and Downtown,8,6,5,0
388,Relax with a CANNACATION!,4,2,5,0
389,"the down home ,central and fab!",4,1,5,0
390,Panoramic Water Views - 6bd/3ba,0,5,5,0
391,The Wallingford Manor,1,6,5,0
392,Floating Home~Kayaks~SUPs~Bikes,0,7,5,0
393,Gorgeous apt with skyline view,2,2,5,0
394,GREEN SUITE - super clean - new bed,9,2,5,0
395,In-City Suite Retreat,6,4,5,0
396,Charming Greenlake Craftsman,0,2,5,0
397,Greenlake Apt. with Chef's Kitchen,3,1,9,0
398,"Private Room, Wallingford, Seattle",5,1,5,0
399,"Garden apt, fresh honey",4,1,5,0
400,BLUE SUITE - super clean - new bed,9,4,5,0
401,Clean & modern 1BR in Wallingford,6,3,3,0
402,Wonderful Queen Anne Home,1,0,4,0
403,2 Private Rooms - Queen Anne Home,6,5,4,0
404,Charming Urban Bungalow,5,2,4,0
405,Beautiful Bedroom in Queen Anne,9,0,4,0
406,Beautiful Queen Anne Home,0,1,4,0
407,1 BR in modern Queen Anne townhouse,7,9,4,0
408,Queen Anne Cottage,3,4,4,0
409,Modern townhouse w/hot tub,0,4,4,0
410,Cozy 1 Bedroom in Queen Anne,4,0,4,0
411,New! Bright Queen Anne Studio,7,0,4,0
412,2 BDR GARDEN APT + PATIO/GRILL+PKG,4,5,4,0
413,"Magazine Profiled, View, Gorgeous ",0,0,4,0
414,"Private, Quiet room close to SPU",6,2,4,0
415,Quiet bedroom with private bathroom,9,0,4,0
416,5 star Luxury + Urban Tranquility,2,0,4,0
417,Fabulous 3BR Queen Anne Home,0,2,4,0
418,Queen Anne Stylish Apt Near City,4,0,4,0
419,Fremont Sunrise View,4,6,4,0
420,"Modern Home, Kid-Friendly with View",0,0,4,0
421,Cozy & Clean Apt Close To Downtown!,4,0,4,0
422,Queen Anne Coastal Bungalow,0,0,4,0
423,"Villa Hill-Bedroom, bath, TV room",6,3,4,0
424,Quiet family retreat-great location,0,0,4,0
425,Perfect Seattle Room + Bathroom,9,0,4,0
426,Charming 2BR Queen Anne Close to DT,4,0,4,0
427,URBAN OASIS ON QUEEN ANNE HILL,0,1,4,0
428,Comfy Queen Anne Digs,6,1,4,0
429,Inn of Twin Gables - North Room,1,0,4,0
430,Private large one bedroom,7,2,4,0
431,Queen Anne Cozy Duplex Oasis,7,0,4,0
432,"Beautiful Update Craftsman 3BR, 3BA",0,8,4,0
433,Charming Home close to Fremont,1,3,4,0
434,2BD in Peaceful Upper Queen Anne,1,0,4,0
435,Scandinavian Queen Anne Home,4,0,4,0
436,Downtown Seattle + Mountain Views,3,4,4,0
437,Queen Anne 2 Bdrm/1.5 Ba/1000 sq ft,2,5,4,0
438,Peaceful One Bedroom Apartment,7,6,4,0
439,3 bedroom Queen Anne Home,0,5,4,0
440,"Queen Anne, Seattle",5,4,4,0
441,Charming home on Queen Anne Hill,6,5,4,0
442,great location interbay,5,0,4,0
443,Quiet & beautify room in Queen Anne,6,0,4,0
444,Charming Daylight Basement of DINKS,5,0,4,0
445,"Spectacular Views, Supersized Suite",4,0,4,0
446,Queen Breeze B&B,2,3,4,0
447,Olympics View Seattle QA Craftsman,4,0,4,0
448,3 Bedroom 3 Bath Ship Canal Oasis,0,4,4,0
449,Gorgeous Seattle Apt Near Downtown!,4,0,4,0
450,Queen Anne Bungalow - Weekly Rental,5,0,4,0
451,Private room and bath in Greenlake,4,7,9,0
452,Green Lake Private Ground Floor BR,8,3,9,0
453,Charming Home 2 Blks from Greenlake,0,2,9,0
454,Stylish Craftsman Near Lake & Park,0,2,9,0
455,Greenlake Summer Home,5,7,9,1
456,Modern Studio Apartment Near Park,7,8,9,1
457,Beautiful Central Green Lake Flat,0,4,9,0
458,New Greenlake Apartment,5,4,9,0
459,"Peaceful, Spacious Home",5,1,9,0
460,Enjoy our Cozy Waterfront nook! MIL,6,7,9,1
461,Sunny Apartment Retreat,6,2,9,0
462,Guest Bedroom near Greenlake,9,3,9,0
463,"Private Room, Bath, & Kitchenette",9,5,9,1
464,Two LakeView Balconies in GreenLake,1,7,9,0
465,"Green Lake Guest Suite, private apt",2,7,9,0
466,Green Lake VIEW 2 Bed 1 Bath Apt,1,9,9,0
467,Seattle WA. Green Lake area,9,4,9,0
468,Charming Lake Apartment with Views,2,9,9,0
469,The Traveler Craftsman - Green Lake,3,7,9,0
470,Northwest Charm - Green Lake Area,3,9,9,0
471,Cozy room by Green Lake!,9,5,9,1
472,Cute Greenlake House: Walk to Lake!,2,4,9,0
473,Cozy Greenlake Bungalow,1,0,9,0
474,Gorgeous Greenlake Townhome,0,5,9,0
475,Green Lake Charmer,1,9,9,0
476,Amazing Huge Modern Green Lake Home,0,8,9,0
477,"Storybook Tudor, house at GreenLake",1,5,9,0
478,Large Luxury Lakeside Seattle Home,0,2,9,0
479,Nice Home- 1.5 Blocks to Green Lake,2,7,9,0
480,Cozy apartment in Green Lake,3,3,9,0
481,Amazing Studio in Green Lake,6,3,9,0
482,Seattle Green Lake Getaway,0,4,9,0
483,Craftsman Home 1 block from Lake!,7,8,9,1
484,Cozy room at Green Lake Seattle.,8,8,9,1
485,Modern Flat Quick Walk 2 Green Lake,3,4,9,0
486, Comfortable Green Lake Home Base,8,3,9,0
487,Brick Tudor One Block To Green Lake,1,9,9,0
488,Perfect Location 2BR Quiet St Shops,5,5,9,1
489,Quiet Cozy Upstairs BR Green Lake,9,4,9,0
490,Quaint Upstairs Room with Closet,9,4,9,0
491,Sweet & Cozy Apartment @ Green Lake,7,0,9,0
492,Spacious Green Lake View Studio,4,9,9,0
493,3 bdrm Craftsman home on Greenlake,1,3,9,0
494,Bright GreenLake studio - all yours,6,7,9,1
495,greenlake 2 bedroom suite,3,8,9,0
496,Green Lake Getaway -2min from Lake,0,4,9,0
497,Greenlake Getaway,6,9,9,1
498,Miradina Al Lago,4,8,9,0
499,"Modern, Sunny 3BR/3B Greenlake Home",0,1,9,0
500,City & Lake Views. Central- shared ,6,3,1,0
501,Modern Apartment Centrally Located!,1,3,1,0
502,1 BedBath - South Lake Union View,8,1,1,0
503,Urban condo with a view,0,1,1,0
504,Single room in South lake Union,8,1,1,0
505,Central. Private big deck & Views!,0,2,1,0
506,Welcome aboard a classic 58' yacht!,2,0,1,0
507,Stunning View/Patio Apartment,6,1,1,0
508,70' Yacht  on south Lake  Union,0,0,1,0
509,Custom Houseboat -Heart of the City,1,1,4,0
510,Pvt suite in beautiful townhome,3,2,4,0
511,2 BR Apartment near Seattle Center,2,2,4,0
512,Lake Union View Apartment,8,2,1,0
513,Modern private room and bath,6,1,6,0
514,Modern 2BR in Seattle Urban Oasis,3,2,6,0
515,Cute Convenient Capitol Hill Duplex,2,1,6,0
516,Modern Home & Furnishings,0,1,6,0
517,QuietSpaceinMadisonValley,8,5,6,1
518,Central District Green GardenStudio,6,0,6,0
519,"Backyard studio, quiet neighborhood",3,4,6,0
520,"TL ""Boston"": renovated 2 bed/2 bath",0,1,6,0
521,"Central District ""Green"" House",1,1,6,0
522,"Centrally located, easy access!",8,8,6,1
523,Brand New Madison Valley Townhome,6,4,6,0
524,Centrally located private room,8,7,6,1
525,All you need in Capitol Hill,7,9,6,1
526,"Capitol Hill Apt, Magnificent Views",8,8,6,1
527,Fields of Dreams: Modern 4bed/3.5ba,0,3,6,0
528,Private room+bath in Seattle house,9,3,6,0
529,A Modern Craftsman Room with a View,3,4,6,0
